senet:
Test set: Average loss: 2.6298, Accuracy: 0.5074
Test set: Average loss: 2.6362, Accuracy: 0.5037
Test set: Average loss: 2.6460, Accuracy: 0.5074
Test set: Average loss: 2.6455, Accuracy: 0.5037
Test set: Average loss: 2.6476, Accuracy: 0.5037
Test set: Average loss: 2.6525, Accuracy: 0.5074
Test set: Average loss: 2.6598, Accuracy: 0.5074
Test set: Average loss: 2.6648, Accuracy: 0.5037
Test set: Average loss: 2.6808, Accuracy: 0.5037
Test set: Average loss: 2.6781, Accuracy: 0.5074
Test set: Average loss: 2.6904, Accuracy: 0.5037
Test set: Average loss: 2.6939, Accuracy: 0.5037
Test set: Average loss: 2.6895, Accuracy: 0.5074
Test set: Average loss: 2.6945, Accuracy: 0.5037
Test set: Average loss: 2.6996, Accuracy: 0.5110
Test set: Average loss: 2.7032, Accuracy: 0.5074
Test set: Average loss: 2.7071, Accuracy: 0.5074
Test set: Average loss: 2.7132, Accuracy: 0.5074
Test set: Average loss: 2.7167, Accuracy: 0.5074
Test set: Average loss: 2.7207, Accuracy: 0.5074
Test set: Average loss: 2.7232, Accuracy: 0.5074
Test set: Average loss: 2.7288, Accuracy: 0.5074
Test set: Average loss: 2.7307, Accuracy: 0.5037
Test set: Average loss: 2.7367, Accuracy: 0.5037
Test set: Average loss: 2.7394, Accuracy: 0.5074
Test set: Average loss: 2.7452, Accuracy: 0.5074
Test set: Average loss: 2.7488, Accuracy: 0.5074
Test set: Average loss: 2.7624, Accuracy: 0.5000
Test set: Average loss: 2.7621, Accuracy: 0.5037
Test set: Average loss: 2.7601, Accuracy: 0.5074
Test set: Average loss: 2.7640, Accuracy: 0.5074
Test set: Average loss: 2.7699, Accuracy: 0.5074
Test set: Average loss: 2.7754, Accuracy: 0.5037
Test set: Average loss: 2.7800, Accuracy: 0.5037
Test set: Average loss: 2.7752, Accuracy: 0.5074
Test set: Average loss: 2.7852, Accuracy: 0.5037
Test set: Average loss: 2.7889, Accuracy: 0.5074
Test set: Average loss: 2.7936, Accuracy: 0.5037
Test set: Average loss: 2.7947, Accuracy: 0.5037
